Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
00065b1c-5e71-3da5-907f-e9fc33eddbbf,PCP115959,170 MAIN ST E,MONSON,MA,01057-1353,42.093596000000005,-72.321494,,8266.239999999994,64
001d000f-be37-3cf2-9339-6b613dd0117d,EYE ASSOCIATES PC,500 SALEM ST,WILMINGTON,MA,01887-1200,42.564646999999994,-71.164516,978-658-2880,8137.079999999994,63
00717240-296a-35b2-a336-8e3d9f085fce,NICOLE H. BOUDREAU MD P.C.,1180 BEACON ST,BROOKLINE,MA,02446-3806,42.323853,-71.142003,617-232-0440,6587.159999999995,51
02da9e41-5656-33e0-be62-aff604c958d3,PCP2381,17 HENSHAW ST,BRIGHTON,MA,02135-2905,42.33196,-71.020173,617-363-99881,6070.519999999996,47
03347b4d-994e-302b-848b-58019a4e274d,EMERSON HOSPITAL -,133 OLD ROAD TO 9 ACRE CORNER,W CONCORD,MA,01742,42.269478,-71.807783,9783691400,43346.09000000025,347
0471e045-73e1-3540-a5e8-dbef0d4093b6,PCP164843,113 /2 MAIN ST,OXFORD,MA,01540-2832,42.12826,-71.8671,,5812.199999999996,45
04c1cc59-11e3-30e5-b317-0bf5e765f3e8,BEACON FAMILY MEDICINE  LLP,130 COUNTY RD,IPSWICH,MA,01938-2585,42.695981,-70.83564799999999,978-356-1192,3616.4799999999987,28
05462bf2-25d4-3ecd-afdf-bb3e1140929a,Causeway OPC,251 Causeway St.,Boston,MA,02114,42.3665,-71.05931,800-865-3384,18599.039999999983,145
05466cb7-f3c0-3bcd-8f9e-421e6547cb51,PCP150197,215 SUMMER ST,HAVERHILL,MA,01830-0632,42.782945,-71.087436,,7749.599999999994,60
059cdf63-a616-3f61-be4d-410d0be0623a,PCP4608,1250 HANCOCK ST,QUINCY,MA,02169-4339,42.261006,-71.008988,617-471-2444,9170.359999999993,71
060d4631-3566-3d04-9205-2827b0f87c2e,PCP144782,111 EVERETT AVE,CHELSEA,MA,02150-2380,42.396824,-71.031348,,22861.319999999978,179
060f5b13-56d0-3500-bbb5-008bcb8fe70a,PCP71080,43 COLUMBIA ST,BROOKLINE,MA,02446-2407,42.323853,-71.142003,617-730-8120,8524.559999999994,66
06298d60-e0e0-32d1-b465-2455b92414b9,NORTH SHORE PHYSICIANS GROUP INC,55 HIGHLAND AVE,SALEM,MA,01970-2100,42.499248,-70.898204,978-745-4489,5424.719999999997,42
06eff9e0-c5b4-39ed-8273-2f29cf5d3185,PCP10127,464 GRANITE AVE,MILTON,MA,02186-5625,42.241557,-71.082432,617-698-0998,10978.599999999991,85
07528ac5-94f7-352d-b3e2-fd7269c88baa,HD PHYSICAL THERAPY LLC,607 N AVE,WAKEFIELD,MA,01880-1322,42.50436,-71.064061,781-587-0776,7103.799999999995,55
0871f090-09bb-3e6c-8381-ca5ac76a3937,PROEX PHYSICAL THERAPY  LLC,11 WATER ST,ARLINGTON,MA,02476-4814,42.418721999999995,-71.163912,603-427-8066,3616.4799999999987,28
09548a91-70ff-3bb3-8f61-ee52f80665c2,PIONEER VALLEY OPHTHALMIC CONSULTANTS  P.C.,10 HOSPITAL DR,HOLYOKE,MA,01040-6643,42.211656,-72.642448,413-536-3010,4908.079999999997,38
09aafb68-8363-327f-b033-a690de7a2930,NEW ENGLAND INPATIENT SPECIALIST LLC,2033 MAIN ST,ATHOL,MA,01331-3535,42.575924,-72.229618,978-669-5620,5424.719999999997,42
09b12738-8d19-3f48-bb86-1f0f0d3b5117,PCP50168,909 FORTUNE BLVD,MILFORD,MA,01757,42.158691999999995,-71.521419,508-473-7400,4908.079999999997,38
09f69020-aa1e-3bd8-b1f1-9b4534273281,PCP21378,515 PROVIDENCE HWY,DEDHAM,MA,02026-6817,42.246871999999996,-71.179462,201-388-2656,6716.319999999995,52
0d1563c1-d56c-362e-9e3d-d74463ebbe0f,URGENT CARE MEDICAL CLINIC,629 PLEASANT STREET,BROCKTON,MA,2301,42.0892313,-71.04551,508-583-0010,0.0,118
0e7998eb-cf99-3b10-9381-4b3f4bf4d320,COMMUNITY HEALTHLINK INC,275 NICHOLS RD,FITCHBURG,MA,01420-1919,42.601977000000005,-71.81586999999999,978-401-3970,7749.599999999994,60
0f7f97f6-693c-3de9-8190-85feaf4632e2,CONCENTRA URGENT CARE - EAST BOSTON,1 HARBORSIDE DRIVE,EAST BOSTON,MA,2128,42.3634497,-71.0256963,617-568-6500,0.0,19
108ccece-277a-396f-8bf2-1527f74458eb,ON CALL URGENT CARE CENTER,51 LOCUST STREET,NORTHAMPTON,MA,1060,42.3323152,-72.6545646,413-584-7425,0.0,41
10968ba2-75e7-351a-a73a-c37a2a8dfcfc,PCP25544,65 EASTERN AVE,ESSEX,MA,01929-1300,42.64042,-70.77117199999999,978-290-8889,5166.399999999997,40
